Influencer_ID,Name,Followers,Post_ID,Post_Content,Post_Timestamp,Likes,Comments,Shares,Sentiment_Score,Category,Collaboration,Brand_Impact
123456,Amina Diop,250000,12345,"Exploring the vibrant streets of Dakar, Senegal! #Travel #Wanderlust",2022-03-15T12:30:00Z,1000,50,30,0.3,Travel,No,Neutral
987654,Raul Garcia,120000,67890,Just finished a workout at the gym! Feeling strong and energized #Fitness #Motivation,2022-03-16T09:00:00Z,700,40,20,0.7,Fitness,No,Neutral
135798,Sara Khan,300000,13579,Cooking up a storm in the kitchen with my favorite spices #Foodie #Cooking,2022-03-17T15:30:00Z,1500,80,40,0.5,Food,No,Neutral
246801,Lila Chen,450000,24680,Discovering the beauty of traditional Chinese calligraphy #Art #Culture,2022-03-18T10:00:00Z,1200,60,30,0.4,Art,No,Neutral
567890,Kevin Nguyen,200000,56789,Exploring the bustling markets of Ho Chi Minh City #Travel #Adventure,2022-03-19T14:00:00Z,900,50,20,0.6,Travel,No,Neutral
876543,Aisha Ali,180000,87654,Trying out the latest vegan recipes! #Foodie #Vegan,2022-03-20T08:30:00Z,600,30,15,0.8,Food,No,Neutral
345678,Mateo Rodriguez,150000,34567,Learning about the ancient ruins of Machu Picchu #Travel #History,2022-03-21T13:00:00Z,800,40,20,0.5,Travel,No,Neutral
987654,Raul Garcia,120000,67891,Sharing my favorite workout playlist! #Fitness #Music,2022-03-22T09:00:00Z,650,35,25,0.7,Fitness,No,Neutral
135798,Sara Khan,300000,13579,Cooking up a storm in the kitchen with my favorite spices #Foodie #Cooking,2022-03-23T15:30:00Z,1550,85,45,0.5,Food,No,Neutral
246801,Lila Chen,450000,24681,Discovering the beauty of traditional Chinese calligraphy #Art #Culture,2022-03-24T10:00:00Z,1250,65,35,0.4,Art,No,Neutral
567890,Kevin Nguyen,200000,56789,Exploring the bustling markets of Ho Chi Minh City #Travel #Adventure,2022-03-25T14:00:00Z,950,55,25,0.6,Travel,No,Neutral
876543,Aisha Ali,180000,87654,Trying out the latest vegan recipes! #Foodie #Vegan,2022-03-26T08:30:00Z,620,32,17,0.8,Food,No,Neutral
345678,Mateo Rodriguez,150000,34567,Learning about the ancient ruins of Machu Picchu #Travel #History,2022-03-27T13:00:00Z,820,42,22,0.5,Travel,No,Neutral
123456,Aisha Ibrahim,150000,12345,Exploring the vibrant colors of Marrakech. #Morocco #Travel #Wanderlust,2022-05-10 14:30:00,3000,50,200,0.2,Travel,No,Neutral
7891011,Rajesh Patel,200000,67890,Trying out the latest gadgets from Sony. #Tech #Gadgets #Innovation,2022-05-11 10:00:00,2500,75,300,0.5,Tech,Yes,Increased
